# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-10T02:26:18+00:00
arm,class,n_clean,support_total,support_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_folds
yolo26n,severe_insufficient_liquid_supply,52,156,10.4,0.718077478077478,0.1273977474404903,0.8072727272727271,0.1345419444961591,0.7561873656473198,0.11920410734207733,15
yolo26n,pump_leakage,65,195,13.0,0.35575702075702076,0.09005877543879377,0.34871794871794876,0.1420376608430807,0.34533245734950146,0.11061902745583553,15
yolo26n,gas_influence_and_vibration,69,207,13.8,0.5473365468953705,0.1205324572383214,0.5358974358974359,0.1420376608430807,0.5296068843130394,0.10831105443154102,15
yolo26n,natural_flowing,85,255,17.0,0.5166169137040281,0.140177511684812,0.5450980392156863,0.09022043271247832,0.5189245477003319,0.0788717434688291,15
yolo26n,insufficient_liquid_supply_and_vibration,106,318,21.2,0.7193418248791785,0.10080559792869861,0.6193362193362193,0.11674809153416651,0.659131847022625,0.09145186764459551,15
yolo26n,severe_vibration,129,387,25.8,0.5541109839816935,0.09198656522287754,0.4055384615384615,0.11677955332329008,0.45886926912469017,0.09799877193942766,15
yolo26s,gas_influence,31,93,6.2,0.4677389277389277,0.25595034208216294,0.4095238095238095,0.22537446792760443,0.38270678581824097,0.1460524840492933,15
yolo26s,collide_pump_and_vibration,35,105,7.0,0.6343458393458393,0.2056076583526673,0.6857142857142856,0.18859616411670077,0.6382506674611939,0.17249494598814682,15
yolo26s,vibration,46,138,9.2,0.39842934842934846,0.2342540160451592,0.25629629629629636,0.15156250662890824,0.2760316045610163,0.13265420567319136,15
yolo26s,full_load_production,50,150,10.0,0.6068623968623967,0.14534542355316507,0.5333333333333333,0.20236694629405505,0.5515886731386799,0.15791681072471755,15
yolo26s,severe_insufficient_liquid_supply,52,156,10.4,0.7598172415819473,0.1580332200158885,0.7424242424242423,0.22107568585092954,0.7268910259958852,0.15833819806687416,15
yolo26s,pump_leakage,65,195,13.0,0.38335664335664343,0.15032695459942416,0.2717948717948718,0.14786924688050077,0.3061833603680507,0.1470545436447151,15
yolo26s,gas_influence_and_vibration,69,207,13.8,0.5771406173805554,0.14635311650711424,0.5652014652014652,0.17245429692690642,0.5485669358361808,0.11623587615884501,15
yolo26s,natural_flowing,85,255,17.0,0.42067408077341,0.10650220109749442,0.46274509803921565,0.14725477141583204,0.4281037173571498,0.09357594054827682,15
yolo26s,insufficient_liquid_supply_and_vibration,106,318,21.2,0.6934198066391049,0.08797806047798772,0.6405483405483406,0.1581959113307086,0.6519219018072796,0.08673209672871042,15
yolo26s,severe_vibration,129,387,25.8,0.5100296466544679,0.07034424137698295,0.5631794871794872,0.12905334060944348,0.5286277299467026,0.09195201964929625,15
