# Per-fold merged macro-F1, the input to taxonomy_merge.csv.
#
# Kept so any scenario pair can be given a corrected paired interval without
# recomputing the merges. `recorded_f1_macro` is the value the run itself
# wrote; the baseline scenario must reproduce it exactly, and
# --verify-reference asserts that it does.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,fold,repeat,fold_index,scenario,n_classes,macro_f1,recorded_f1_macro,support,protocol
yolo26m,r0f2,0,2,baseline,10,0.5907489894577249,0.5907489894577249,134.0,uniform
yolo26m,r0f2,0,2,M1,9,0.6310472529187474,0.5907489894577249,134.0,uniform
yolo26m,r0f2,0,2,M2,9,0.6236067394234629,0.5907489894577249,134.0,uniform
yolo26m,r0f2,0,2,M3,8,0.6730495045628307,0.5907489894577249,134.0,uniform
yolo26m,r0f2,0,2,M4,5,0.7346669107744457,0.5907489894577249,134.0,uniform
yolo26m,r0f2,0,2,M5,7,0.7140920261274593,0.5907489894577249,134.0,uniform
yolo26m,r0f3,0,3,baseline,10,0.6016448945187016,0.6016448945187016,133.0,uniform
yolo26m,r0f3,0,3,M1,9,0.6037801565505702,0.6016448945187016,133.0,uniform
yolo26m,r0f3,0,3,M2,9,0.6513825038811784,0.6016448945187016,133.0,uniform
yolo26m,r0f3,0,3,M3,8,0.6600018748373402,0.6016448945187016,133.0,uniform
yolo26m,r0f3,0,3,M4,5,0.6940973675250286,0.6016448945187016,133.0,uniform
yolo26m,r0f3,0,3,M5,7,0.7029485712426744,0.6016448945187016,133.0,uniform
yolo26m,r0f4,0,4,baseline,10,0.4584297974567252,0.4584297974567252,133.0,uniform
yolo26m,r0f4,0,4,M1,9,0.5013376487060698,0.4584297974567252,133.0,uniform
yolo26m,r0f4,0,4,M2,9,0.5030240186094939,0.4584297974567252,133.0,uniform
yolo26m,r0f4,0,4,M3,8,0.5568696289091026,0.4584297974567252,133.0,uniform
yolo26m,r0f4,0,4,M4,5,0.6004152292810557,0.4584297974567252,133.0,uniform
yolo26m,r0f4,0,4,M5,7,0.6189821235818582,0.4584297974567252,133.0,uniform
yolo26m,r1f0,1,0,baseline,10,0.5214014071474053,0.5214014071474053,134.0,uniform
yolo26m,r1f0,1,0,M1,9,0.5391420010944417,0.5214014071474053,134.0,uniform
yolo26m,r1f0,1,0,M2,9,0.5653227006148644,0.5214014071474053,134.0,uniform
yolo26m,r1f0,1,0,M3,8,0.5907710304887126,0.5214014071474053,134.0,uniform
yolo26m,r1f0,1,0,M4,5,0.6732565774647126,0.5214014071474053,134.0,uniform
yolo26m,r1f0,1,0,M5,7,0.6401497960886483,0.5214014071474053,134.0,uniform
yolo26m,r1f1,1,1,baseline,10,0.5132114562887861,0.5132114562887861,134.0,uniform
yolo26m,r1f1,1,1,M1,9,0.5385610807649788,0.5132114562887861,134.0,uniform
yolo26m,r1f1,1,1,M2,9,0.5309322978235805,0.5132114562887861,134.0,uniform
yolo26m,r1f1,1,1,M3,8,0.5616657305511468,0.5132114562887861,134.0,uniform
yolo26m,r1f1,1,1,M4,5,0.649017265560768,0.5132114562887861,134.0,uniform
yolo26m,r1f1,1,1,M5,7,0.5866571745355635,0.5132114562887861,134.0,uniform
yolo26m,r1f2,1,2,baseline,10,0.46640135057497056,0.46640135057497056,134.0,uniform
yolo26m,r1f2,1,2,M1,9,0.5205349709350383,0.46640135057497056,134.0,uniform
yolo26m,r1f2,1,2,M2,9,0.4994287386055679,0.46640135057497056,134.0,uniform
yolo26m,r1f2,1,2,M3,8,0.5644574850144688,0.46640135057497056,134.0,uniform
yolo26m,r1f2,1,2,M4,5,0.6265221088435374,0.46640135057497056,134.0,uniform
yolo26m,r1f2,1,2,M5,7,0.6438879210220673,0.46640135057497056,134.0,uniform
yolo26m,r1f3,1,3,baseline,10,0.5432608396704524,0.5432608396704524,133.0,uniform
yolo26m,r1f3,1,3,M1,9,0.54890150807644,0.5432608396704524,133.0,uniform
yolo26m,r1f3,1,3,M2,9,0.5776361792024154,0.5432608396704524,133.0,uniform
yolo26m,r1f3,1,3,M3,8,0.5882788486006469,0.5432608396704524,133.0,uniform
yolo26m,r1f3,1,3,M4,5,0.6102674290479169,0.5432608396704524,133.0,uniform
yolo26m,r1f3,1,3,M5,7,0.6174846113554865,0.5432608396704524,133.0,uniform
yolo26m,r1f4,1,4,baseline,10,0.5936175496452158,0.5936175496452158,133.0,uniform
yolo26m,r1f4,1,4,M1,9,0.6076505816682499,0.5936175496452158,133.0,uniform
yolo26m,r1f4,1,4,M2,9,0.6333100194400504,0.5936175496452158,133.0,uniform
yolo26m,r1f4,1,4,M3,8,0.6540587391903181,0.5936175496452158,133.0,uniform
yolo26m,r1f4,1,4,M4,5,0.7221991664096927,0.5936175496452158,133.0,uniform
yolo26m,r1f4,1,4,M5,7,0.689733858455663,0.5936175496452158,133.0,uniform
yolo26m,r2f0,2,0,baseline,10,0.5838528563848355,0.5838528563848355,134.0,uniform
yolo26m,r2f0,2,0,M1,9,0.6212894985472531,0.5838528563848355,134.0,uniform
yolo26m,r2f0,2,0,M2,9,0.620926397595917,0.5838528563848355,134.0,uniform
yolo26m,r2f0,2,0,M3,8,0.6676768126800219,0.5838528563848355,134.0,uniform
yolo26m,r2f0,2,0,M4,5,0.7759354081406047,0.5838528563848355,134.0,uniform
yolo26m,r2f0,2,0,M5,7,0.7121996844111443,0.5838528563848355,134.0,uniform
yolo26m,r2f1,2,1,baseline,10,0.48720637002289513,0.48720637002289513,134.0,uniform
yolo26m,r2f1,2,1,M1,9,0.5329819395427845,0.48720637002289513,134.0,uniform
yolo26m,r2f1,2,1,M2,9,0.5184568132529522,0.48720637002289513,134.0,uniform
yolo26m,r2f1,2,1,M3,8,0.573860634366585,0.48720637002289513,134.0,uniform
yolo26m,r2f1,2,1,M4,5,0.5797808370516762,0.48720637002289513,134.0,uniform
yolo26m,r2f1,2,1,M5,7,0.6018666353545284,0.48720637002289513,134.0,uniform
yolo26m,r2f2,2,2,baseline,10,0.5337120008707471,0.5337120008707471,134.0,uniform
yolo26m,r2f2,2,2,M1,9,0.5483378896253854,0.5337120008707471,134.0,uniform
yolo26m,r2f2,2,2,M2,9,0.5583287738326498,0.5337120008707471,134.0,uniform
yolo26m,r2f2,2,2,M3,8,0.5778599953018558,0.5337120008707471,134.0,uniform
yolo26m,r2f2,2,2,M4,5,0.6607863873635684,0.5337120008707471,134.0,uniform
yolo26m,r2f2,2,2,M5,7,0.5982363101795503,0.5337120008707471,134.0,uniform
yolo26m,r2f3,2,3,baseline,10,0.5115930135700932,0.5115930135700932,133.0,uniform
yolo26m,r2f3,2,3,M1,9,0.5296722771350731,0.5115930135700932,133.0,uniform
yolo26m,r2f3,2,3,M2,9,0.5467750920129748,0.5115930135700932,133.0,uniform
yolo26m,r2f3,2,3,M3,8,0.5715120233289372,0.5115930135700932,133.0,uniform
yolo26m,r2f3,2,3,M4,5,0.6353317565818635,0.5115930135700932,133.0,uniform
yolo26m,r2f3,2,3,M5,7,0.622292928458342,0.5115930135700932,133.0,uniform
yolo26m,r2f4,2,4,baseline,10,0.6218876232191854,0.6218876232191854,133.0,uniform
yolo26m,r2f4,2,4,M1,9,0.6477895331828113,0.6218876232191854,133.0,uniform
yolo26m,r2f4,2,4,M2,9,0.6490742505537642,0.6218876232191854,133.0,uniform
yolo26m,r2f4,2,4,M3,8,0.6816122276796656,0.6218876232191854,133.0,uniform
yolo26m,r2f4,2,4,M4,5,0.7413701918457785,0.6218876232191854,133.0,uniform
yolo26m,r2f4,2,4,M5,7,0.7247288826405409,0.6218876232191854,133.0,uniform
mobilenetv3_small,r0f0,0,0,baseline,10,0.6715457801157598,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f0,0,0,M1,9,0.6946075954696644,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f0,0,0,M2,9,0.7049045535981281,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f0,0,0,M3,8,0.7350189425565667,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f0,0,0,M4,5,0.729861178369653,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f0,0,0,M5,7,0.7934533106766677,0.6715457801157598,134.0,uniform
mobilenetv3_small,r0f1,0,1,baseline,10,0.6097699120280426,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f1,0,1,M1,9,0.6388120492505444,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f1,0,1,M2,9,0.651323867394993,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f1,0,1,M3,8,0.6891905161911762,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f1,0,1,M4,5,0.7686950151764643,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f1,0,1,M5,7,0.7246210941344534,0.6097699120280426,134.0,uniform
mobilenetv3_small,r0f2,0,2,baseline,10,0.5589348592815062,0.5589348592815062,134.0,uniform
