# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
yolo26m,gas_influence_and_vibration,natural_flowing,15,0.537566,0.066773,0.007504,,False,19,uniform
yolo26m,full_load_production,natural_flowing,15,0.536602,0.065363,0.00654,,False,20,uniform
yolo26m,full_load_production,severe_vibration,15,0.535836,0.064403,0.005774,,False,21,uniform
yolo26m,gas_influence_and_vibration,severe_vibration,15,0.535764,0.063618,0.005702,,False,22,uniform
yolo26m,collide_pump_and_vibration,pump_leakage,15,0.53539,0.065186,0.005328,,False,23,uniform
yolo26m,gas_influence,pump_leakage,15,0.534812,0.055886,0.00475,,False,24,uniform
yolo26m,insufficient_liquid_supply_and_vibration,pump_leakage,15,0.534325,0.060399,0.004263,,False,25,uniform
yolo26m,collide_pump_and_vibration,natural_flowing,15,0.533844,0.067801,0.003782,,False,26,uniform
yolo26m,gas_influence,natural_flowing,15,0.530371,0.057566,0.000309,,False,27,uniform
yolo26m,collide_pump_and_vibration,gas_influence_and_vibration,15,0.530213,0.066789,0.000151,,False,28,uniform
yolo26m,collide_pump_and_vibration,full_load_production,15,0.529615,0.06616,-0.000447,,False,29,uniform
yolo26m,collide_pump_and_vibration,insufficient_liquid_supply_and_vibration,15,0.529181,0.064566,-0.000881,,False,30,uniform
yolo26m,gas_influence,severe_vibration,15,0.529072,0.055954,-0.00099,,False,31,uniform
yolo26m,severe_insufficient_liquid_supply,vibration,15,0.528002,0.056598,-0.00206,,False,32,uniform
yolo26m,collide_pump_and_vibration,gas_influence,15,0.5272,0.06015,-0.002862,,False,33,uniform
yolo26m,full_load_production,insufficient_liquid_supply_and_vibration,15,0.526653,0.063649,-0.003409,,False,34,uniform
yolo26m,insufficient_liquid_supply_and_vibration,natural_flowing,15,0.526492,0.064949,-0.00357,,False,35,uniform
yolo26m,insufficient_liquid_supply_and_vibration,severe_vibration,15,0.525928,0.064148,-0.004134,,False,36,uniform
yolo26m,gas_influence,insufficient_liquid_supply_and_vibration,15,0.524589,0.056314,-0.005473,,False,37,uniform
yolo26m,pump_leakage,severe_insufficient_liquid_supply,15,0.519298,0.061629,-0.010764,,False,38,uniform
yolo26m,gas_influence,severe_insufficient_liquid_supply,15,0.515595,0.057813,-0.014467,,False,39,uniform
yolo26m,full_load_production,severe_insufficient_liquid_supply,15,0.515301,0.064063,-0.014761,,False,40,uniform
yolo26m,gas_influence_and_vibration,severe_insufficient_liquid_supply,15,0.514412,0.065292,-0.01565,,False,41,uniform
yolo26m,collide_pump_and_vibration,severe_insufficient_liquid_supply,15,0.513602,0.065078,-0.01646,,False,42,uniform
yolo26m,natural_flowing,severe_insufficient_liquid_supply,15,0.512031,0.064897,-0.018031,,False,43,uniform
yolo26m,insufficient_liquid_supply_and_vibration,severe_insufficient_liquid_supply,15,0.51123,0.060413,-0.018832,,False,44,uniform
yolo26m,severe_insufficient_liquid_supply,severe_vibration,15,0.510235,0.062561,-0.019827,,False,45,uniform
yolo26n,pump_leakage,vibration,15,0.561625,0.051796,0.03855,,True,1,uniform
yolo26n,pump_leakage,severe_vibration,15,0.553768,0.048272,0.030693,,True,2,uniform
yolo26n,gas_influence,gas_influence_and_vibration,15,0.552238,0.050961,0.029163,,False,3,uniform
yolo26n,natural_flowing,pump_leakage,15,0.551048,0.051698,0.027973,M2,True,4,uniform
yolo26n,natural_flowing,severe_vibration,15,0.55063,0.048773,0.027556,,True,5,uniform
yolo26n,severe_vibration,vibration,15,0.547957,0.054387,0.024882,M1,True,6,uniform
yolo26n,natural_flowing,vibration,15,0.543816,0.055041,0.020742,,True,7,uniform
yolo26n,gas_influence_and_vibration,vibration,15,0.542303,0.052877,0.019228,,False,8,uniform
yolo26n,full_load_production,pump_leakage,15,0.539855,0.047437,0.01678,,False,9,uniform
yolo26n,insufficient_liquid_supply_and_vibration,vibration,15,0.539134,0.05258,0.016059,,False,10,uniform
yolo26n,full_load_production,gas_influence,15,0.538755,0.043251,0.015681,,False,11,uniform
yolo26n,gas_influence,vibration,15,0.538068,0.050451,0.014994,,False,12,uniform
yolo26n,collide_pump_and_vibration,severe_vibration,15,0.537801,0.04836,0.014727,,False,13,uniform
yolo26n,gas_influence,pump_leakage,15,0.536305,0.04839,0.01323,,False,14,uniform
yolo26n,gas_influence_and_vibration,pump_leakage,15,0.535811,0.051265,0.012737,,False,15,uniform
yolo26n,full_load_production,vibration,15,0.535735,0.050907,0.01266,,False,16,uniform
